feature_name,feature_category,free,starter,professional,business,enterprise,description
Task Management,Core,Yes,Yes,Yes,Yes,Yes,Create and organize tasks with due dates and assignees
Project Views,Core,List Only,List + Board,List + Board + Calendar,All Views,All Views + Custom,Different ways to visualize project data
File Attachments,Core,5MB limit,25MB limit,100MB limit,500MB limit,500MB limit,Upload files to tasks and projects
Team Collaboration,Core,Basic,Full,Full,Full,Full,Comments and mentions and real-time updates
Mobile Apps,Core,View Only,Full Access,Full Access,Full Access,Full Access,iOS and Android applications
Integrations,Productivity,3 apps,10 apps,30 apps,50+ apps,Unlimited,Connect with third-party tools
Custom Fields,Productivity,No,No,Yes,Yes,Yes,Create custom data fields for tasks
Templates,Productivity,3 templates,10 templates,Unlimited,Unlimited,Unlimited,Reusable project and task templates
Automations,Productivity,No,5/month,50/month,500/month,Unlimited,Automated workflows and triggers
Forms,Productivity,No,No,Yes,Yes,Yes,Create intake forms for task requests
Time Tracking,Reporting,No,No,No,Yes,Yes,Track time spent on tasks
Dashboards,Reporting,1 basic,3 dashboards,10 dashboards,Unlimited,Unlimited,Visual project analytics
Export Reports,Reporting,No,CSV only,CSV + PDF,All formats,All formats,Download project data and reports
Workload View,Reporting,No,No,No,Yes,Yes,See team capacity and allocation
Goals,Reporting,No,No,No,Yes,Yes,Set and track organizational objectives
Two-Factor Auth,Security,Yes,Yes,Yes,Yes,Yes,Account security with 2FA
SSO/SAML,Security,No,No,No,Yes,Yes,Single sign-on integration
Audit Logs,Security,No,No,No,Yes,Yes,Track account activity and changes
Data Encryption,Security,Yes,Yes,Yes,Yes,Yes,256-bit AES encryption
Advanced Permissions,Security,No,No,Basic,Advanced,Custom,Granular access control
Guest Access,Collaboration,No,3 guests,10 guests,50 guests,Unlimited,Invite external collaborators
Proofing,Collaboration,No,No,No,Yes,Yes,Review and approve creative assets
Private Projects,Collaboration,No,Yes,Yes,Yes,Yes,Restrict project visibility
Cross-Project Reporting,Collaboration,No,No,No,Yes,Yes,Reports spanning multiple projects
API Rate Limit,Developer,100/hour,500/hour,2000/hour,5000/hour,Custom,API request limits
Webhooks,Developer,No,No,Yes,Yes,Yes,Real-time event notifications
Custom Branding,Enterprise,No,No,No,No,Yes,White-label your workspace
Data Residency,Enterprise,No,No,No,No,Yes,Choose data storage region
Dedicated Infrastructure,Enterprise,No,No,No,No,Yes,Isolated cloud environment
